BUNDLE:ORIGINAL,dc_title,dc_creator,dc_date_issued,dc_description_abstract,dc_identifier
7643155.pdf,Partially coherent illumination for inverse scattering full-field interferometric synthetic aperture microscopy,"['Marks, Daniel L.', 'Boppart, Stephen A.', 'Carney, Paul Scott', 'Davis, Brynmor J.']",2010-01-05,"Methods and apparatus for three-dimensional imaging of a sample. A source is provided of a beam of light characterized by partial spatial coherence. The beam is focused onto a sample and scattered light from the sample is superposed with a reference beam derived from the source onto a focal plane detector array to provide an interference signal. A forward scattering model is derived relating measurement data to structure of an object to allow solutions of an inverse scattering problem, based upon the interference signal so that a three-dimensional structure of the same may be inferred. The partial spatial coherence of the source, which may be fixed or variable, may advantageously provide for rejection of multiple scattering artifacts and thus improve image quality.",7643155
7644624.pdf,Artificial lateral line,"['Chen, Jack', 'Liu, Chang', 'Engel, Jonathan M.']",2010-01-12,"An artificial sensor comprises at least one substrate, and a plurality of flow sensors disposed on the at least one substrate for providing a plurality of spatial-temporally varying signals representing a hydrodynamic stimulus. The plurality of flow sensors are spatially distributed on the at least one substrate. A processor is coupled to the plurality of flow sensors for receiving the signals and determining spatial-temporal information from the received signals.",7644624
7651797.pdf,"Electrochemical cells comprising laminar flow induced dynamic conducting interfaces, electronic devices comprising such cells, and methods employing same","['Lyding, Joseph W.', 'Moore, Jeffrey S.', 'Markoski, Larry J.']",2010-01-26,"An electrochemical cell is described that includes (a) a first electrode; (b) a second electrode; and (c) a channel contiguous with at least a portion of the first and the second electrodes. When a first liquid is contacted with the first electrode, a second liquid is contacted with the second electrode, and the first and the second liquids flow through the channel, a parallel laminar flow is established between the first and the second liquids. Electronic devices containing such electrochemical cells and methods for their use are also described.",7651797
7661319.pdf,Micromachined artificial haircell,"['Chen, Jack', 'Liu, Chang', 'Engel, Jonathan M.', 'Chen, Nannan']",2010-02-16,"A micromachined artificial sensor comprises a support coupled to and movable with respect to a substrate. A polymer, high-aspect ratio cilia-like structure is disposed on and extends out-of-plane from the support. A strain detector is disposed with respect to the support to detect movement of the support.",7661319
7662410.pdf,Membrane scaffold proteins and embedded membrane proteins,"['Sligar, Stephen G.', 'Bayburt, Timothy H.']",2010-02-16,"Membrane proteins are difficult to express in recombinant form, purify, and characterize, at least in part due to their hydrophobic or partially hydrophobic properties. Membrane scaffold proteins (MSP) assemble with target membrane or other hydrophobic or partially hydrophobic proteins or membrane fragments to form soluble nanoscale particles which preserve their native structure and function; they are improved over liposomes and detergent micelles. In the presence of phospholipid, MSPs form nanoscopic phospholipid bilayer disks, with the MSP stabilizing the particle at the perimeter of the bilayer domain. The particle bilayer structure allows manipulation of incorporated proteins in solution or on solid supports, including for use with such surface-sensitive techniques as scanning probe microscopy or surface plasmon resonance. The nanoscale particles facilitate pharmaceutical and biological research, structure/function correlation, structure determination, bioseparation, and drug discovery.",7662410
7662545.pdf,Decal transfer lithography,"['Nuzzo, Ralph G.', 'Childs, William Robert', 'Lee, Keon Jae', 'Motala, Michael J.']",2010-02-16,"A method of making a microstructure includes selectively activating a portion of a surface of a silicon-containing elastomer, contacting the activated portion with a substance, and bonding the activated portion and the substance, such that the activated portion of the surface and the substance in contact with the activated portion are irreversibly attached. The selective activation may be accomplished by positioning a mask on the surface of the silicon-containing elastomer, and irradiating the exposed portion with UV radiation.",7662545
7670633.pdf,Removal of fiber from grain products including distillers dried grains with solubles,"['Singh, Vijay', 'Srinivasan, Radhakrishnan']",2010-03-02,"Methods, devices, and compositions relating to processed grain products are shown. An exemplary method shown is a fiber separation process for the ethanol industry corn products of Distillers Dried Grains (DDG) and Distillers Dried Grains with Solubles (DDGS) resulting from the widely used dry grind technology. The disclosed process and apparatus allows the removal and separate recovery of fiber-reduced DDG or DDGS products with expanded potential for use as a non-ruminant feed product in addition to the removal and separate recovery of a fiber-enriched product. The specific processes, devices, and compositions shown are readily adaptable to modern ethanol production plants.",7670633
7671254.pdf,"Herbicide resistance gene, compositions and methods","['Tranel, Patrick', 'Hager, Aaron', 'Patzoldt, William L.']",2010-03-02,"The present disclosure provides methods, recombinant DNA molecules, recombinant host cells containing the DNA molecules, and transgenic plant cells, plant tissue, seeds and plants which contain and express an herbicide resistant protoporphyrinogen oxidase such that they germinate from seed and grow in the presence of an amount of herbicide where the parent plant does not. Such plants are especially appropriate for use in agriculture or horticulture where herbicides are used to kill undesirable plants which might contaminate or compete with the transgenic plant of interest.",7671254
7682808.pdf,Coagulation and fibrinolytic cascades modulator,"['Morrissey, James H.', 'Smith, Stephanie A.', 'Docampo, Roberto', 'Mutch, Nicola J.']",2010-03-23,"A thromboplastin reagent comprises (i) TF, (ii) a phospholipid, and (iii) a polyP TFPI blocker.",7682808
7687482.pdf,Bisphosphonate compounds and methods,"['Song, Yongcheng', 'Zhang, Yonghui', 'Sanders, John M.', 'Oldfield, Eric']",2010-03-30,"The invention provides, inter alia, novel bisphosphonate compounds and methods of making and using. In embodiments, the invention provides compounds and methods in connection with research and therapeutic applications, e.g., for tumor cell growth inhibition, activation of gammadelta T cells, inhibition of farnesyldiphosphate (FPPS) and/or undecaprenyldiphosphate synthase enzymes, bone resorption diseases, cancer, immune disorders, immunotherapy, and infectious diseases. In regards to certain embodiments, a surprising advance has been the recognition that certain structural features can significantly enhance the activity of the compounds. For example, the presence of particular cationic species e.g., phosphonium, sulfonium, and arsonium moieties can contribute to desirable functional activity when positioned near a bisphosphonate moiety. In other embodiments of non-nitrogen containing bisphosphonates, terphenyl and benzyl bisphosphonate compounds and methods are provided. Further variations are also provided.",7687482
7688678.pdf,Room volume and room dimension estimation,"['Jones, Douglas L.', 'Feng, Albert S.', 'Larsen, Erik']",2010-03-30,"One embodiment of the invention includes a processing subsystem (30) responsive to the detection of sound coming from a room (26) to establish an acoustic impulse response for the room (26), and determine a number of sound reflections corresponding to the impulse response. This subsystem (30) is further operable to determine volume of the room (26), one or more dimensions of the room (26) and/or at least one absorption coefficient of a room boundary as a function of the sound reflections.",7688678
7691414.pdf,Membrane scaffold proteins,"['Sligar, Stephen G.', 'Bayburt, Timothy H.']",2010-04-06,"Membrane proteins are difficult to express in recombinant form, purify, and characterize, at least in part due to their hydrophobic or partially hydrophobic properties. Membrane scaffold proteins (MSP) assemble with target membrane or other hydrophobic or partially hydrophobic proteins or membrane fragments to form soluble nanoscale particles which preserve their native structure and function; they are improved over liposomes and detergent micelles. In the presence of phospholipid, MSPs form nanoscopic phospholipid bilayer disks, with the MSP stabilizing the particle at the perimeter of the bilayer domain. The particle bilayer structure allows manipulation of incorporated proteins in solution or on solid supports, including for use with such surface-sensitive techniques as scanning probe microscopy or surface plasmon resonance. The nanoscale particles facilitate pharmaceutical and biological research, structure/function correlation, structure determination, bioseparation, and drug discovery.",7691414
7693195.pdf,Semiconductor light emitting devices and methods,"['Holonyak, Jr., Nick', 'Feng, Milton', 'Chan, Richard']",2010-04-06,"A method for producing an optical output, including the following steps: providing first and second electrical signals; providing a bipolar light-emitting transistor device that includes collector, base, and emitter regions; providing a collector electrode coupled with the collector region and an emitter electrode coupled with the emitter region, and coupling electrical potentials with respect to the collector and emitter electrodes; providing an optical coupling in optical communication with the base region; providing first and second base electrodes coupled with the base region; and coupling the first and second electrical signals with the first and second base electrodes, respectively, to produce an optical output emitted from the base region and coupled into the optical coupling, the optical output being a function of the first and second electrical signals.",7693195
7695820.pdf,Aliphatic polyesters and lubricants containing the polyesters,"['Economy, James', 'Xiao, Wei Hao']",2010-04-13,"Aliphatic polyesters may be substituted at the alpha- and beta-positions. These aliphatic polyesters may have increased thermal, chemical and hydrolytic stability compared to conventional aliphatic polyesters. In addition, these aliphatic polyesters may be used as high performance lubricants, including lubricants for hard disk drives.",7695820
7696536.pdf,Semiconductor method and device,"['Holonyak, Jr., Nick', 'Feng, Milton']",2010-04-13,"A method for enhancing operation of a bipolar light-emitting transistor includes the following steps: providing a bipolar light-emitting transistor having emitter, base, and collector regions; providing electrodes for coupling electrical signals with the emitter, base, and collector regions; and adapting the base region to promote carrier transport from the emitter region toward the collector region by providing, in the base region, several spaced apart quantum size regions of different thicknesses, with the thicknesses of the quantum size regions being graded from thickest near the collector to thinnest near the emitter.",7696536
7701395.pdf,Increasing isolation between multiple antennas with a grounded meander line structure,"['Bernhard, Jennifer T.', 'Alvey, Graham R.']",2010-04-20,"A wireless communication device includes multiple antennas spaced apart from each other. Also included is a dielectric substrate with electrically conductive ground areas along the substrate opposite the antennas. Signal coupling is decreased between the antennas by connecting the ground areas together with an isolation structure. In one nonlimiting form, this structure includes an electrically conductive meander line structure.",7701395
7704684.pdf,Methods and devices for fabricating three-dimensional nanoscale structures,"['Rogers, John A.', 'Jeon, Seok-Woo', 'Park, Jang-Ung']",2010-04-27,"The present invention provides methods and devices for fabricating 3D structures and patterns of 3D structures on substrate surfaces, including symmetrical and asymmetrical patterns of 3D structures. Methods of the present invention provide a means of fabricating 3D structures having accurately selected physical dimensions, including lateral and vertical dimensions ranging from 10s of nanometers to 1000s of nanometers. In one aspect, methods are provided using a mask element comprising a conformable, elastomeric phase mask capable of establishing conformal contact with a radiation sensitive material undergoing photoprocessing. In another aspect, the temporal and/or spatial coherence of electromagnetic radiation using for photoprocessing is selected to fabricate complex structures having nanoscale features that do not extend entirely through the thickness of the structure fabricated.",7704684
7705280.pdf,Multispectral plasmonic crystal sensors,"['Rogers, John A.', 'Nuzzo, Ralph G.', 'Mack, Nathan H.', 'Stewart, Matthew', 'Malyarchuk, Viktor', 'Yao, Jimin']",2010-04-27,"The present invention provides plasmonic crystals comprising three-dimensional and quasi comprising three-dimensional distributions of metallic or semiconducting films, including multi-layered crystal structures comprising nanostructured films and film arrays. Plasmonic crystals of the present invention include precisely registered and deterministically selected nonplanar crystal geometries and spatial distributions providing highly coupled, localized plasmonic responses in thin film elements and/or nanostructures of the crystal. Coupling of plasmonic responses provided by three-dimensional and quasi-three dimensional plasmonic crystal geometries and structures of the present invention generates enhanced local plasmonic field distributions useful for detecting small changes in the composition of an external dielectric environment proximate to a sensing surface of the plasmonic crystal. Plasmonic crystal structures of the present invention are also useful for providing highly localized excitation and/or imaging of fluorophores proximate to the crystal surface.",7705280
7706365.pdf,Randomized distributed network coding,"['Karger, David R.', 'Medard, Muriel', 'Koetter, Ralf', 'Effros, Michelle', 'Ho, Tracey']",2010-04-27,"A network and a method for transmitting processes in a network are disclosed, where a randomized coding approach is provided. Network nodes transmit on each outgoing link a linear combination of incoming signals, specified by independently and randomly chosen code coefficients from a finite field. The approach allows robust, distributed transmission and compression of information in networks and is advantageous over routing-based approaches.",7706365
7709465.pdf,Phosphorous containing compounds including triphenylmethylphosphonate esters for the treatment of melanoma and other cancers,"['Nesterenko, Vitaliy V.', 'Hergenrother, Paul J.', 'Putt, Karson S.', 'Palchaudhuri, Rahul']",2010-05-04,"Compounds and related methods for synthesis, and the use of compounds and combination therapies for the treatment of cancer and modulation of apoptosis in cells are disclosed. Particularly disclosed are phosphonate esters. Compounds, methods of making the compounds, medicaments and method of manufacture of medicaments and therapeutic methods with applications against cancer including breast cancer, melanoma, colon cancer, leukemia and lymphoma, and other cancer cells are described.",7709465
7711015.pdf,Method for controlling operation of light emitting transistors and laser transistors,"['Holonyak, Jr., Nick', 'Feng, Milton', 'Walter, Gabriel']",2010-05-04,"A method for controlling operation of a transistor includes the following steps: providing a bipolar transistor having emitter, base and collector regions; applying electrical signals to the transistor to produce light emission from the transistor; effecting photon-assisted tunneling of carriers in the transistor with self-generated photons of the light emission, and controlling operation of the transistor by controlling the photon-assisted tunneling.",7711015
7711988.pdf,Architecture support system and method for memory monitoring,"['Zhou, Ping', 'Zhou, Yuanyuan', 'Torrellas, Josep']",2010-05-04,"Methods and systems for memory monitoring. A triggering access is detected at one or more monitored memory regions. When a triggering access is detected, a function is accessed for determining a monitoring function, and a monitoring function associated with a particular triggered memory location address is automatically determined.",7711988
7723405.pdf,Self-healing coating system,"['White, Scott R.', 'Braun, Paul V.', 'Cho, Soo Hyoun']",2010-05-25,"A self-healing coating includes a polymer matrix, a polymerizer, and a set of capsules containing a corresponding activator for the polymerizer. The polymerizer may be present in another set of capsules, or the polymerizer may be phase separated from the polymer matrix. The coating may be prepared by depositing a coating composition on a substrate and solidifying the coating composition, where the coating composition includes the polymerizer, the activator capsules and a matrix precursor. A combination of polymerizer capsules and activator capsules may be part of a kit, which may be used to provide self-healing properties to a coating. The polymerizer and the activator may be wet-curable, and coatings containing the polymerizer and activator may be able to self-heal when in contact with water.",7723405
7725037.pdf,Optical switch based on parametric interaction,"['Kwiat, Paul G.', 'VanDevender, Aaron Pace']",2010-05-25,"A method and apparatus for switching at least one wavelength component of an optical signal beam from a first state to a second state. The phase characterizing the optical signal component is incremented by interaction with one or more escort beams in a non-linear medium thereby switching the state of the optical signal component on the basis of its incremented phase. Multiple escort beams may also be employed to switch different wavelength components of the signal. The method may be employed to achieve high speed, and substantially transparent, switching of phase, intensity or polarization of a signal.",7725037
7725169.pdf,Contrast enhanced spectroscopic optical coherence tomography,"['Boppart, Stephen A.', 'Xu, Chenyang']",2010-05-25,"A method of forming an image of a sample includes performing SOCT on a sample. The sample may include a contrast agent, which may include an absorbing agent and/or a scattering agent. A method of forming an image of tissue may include selecting a contrast agent, delivering the contrast agent to the tissue, acquiring SOCT data from the tissue, and converting the SOCT data into an image. The contributions to the SOCT data of an absorbing agent and a scattering agent in a sample may be quantified separately.",7725169
7729526.pdf,Fast hierarchical tomography methods and apparatus,"['Bresler, Yoram', 'George, Ashvin K.']",2010-06-01,"Pixel images f are created from projections (q1 . . . qp) by backprojecting (100) selected projections to produce intermediate images (I1, m), and performing digital image coordinate transformations (102) and/or resampling (FIG. 31, 186, 192, 196) on selected intermediate images. The digital image coordinate transformations (102) are chosen to account for view angles of the constituent projections of the intermediate images and for their Fourier characteristics, so that the intermediate images may be accurately represented by sparse samples. The resulting intermediate images are aggregated into subsets (104), and this process is repeated in a recursive manner until sufficient projections and intermediate images have been processed and aggregated to form the pixel image f. Digital image coordinate transformation can include rotation (FIG. 18, 102), shearing (FIG. 10B, 120, 122), stretching, contractions (109), etc. Resampling can include up-sampling (101, 106), down-sampling (109), and the like. Projections (FIG. 32, pθ1 . . . pθ18) can be created from a pixel image (f), by performing digital image coordinate transformation (202) and/or resampling (204) and/or decimation (FIG. 32, 204; FIG. 33, 212) re-projecting the final intermediate image (208).",7729526
7737045.pdf,Microfabricated micro fluid channels,"['Liu, Chang', 'Bullen, David Andrew', 'Ryu, Kee']",2010-06-15,A fluid delivery system including a first substrate having a micro-channel and a well both formed through the first substrate. The fluid delivery system also includes a second substrate and a delivery channel. The second substrate is on the first substrate and the delivery channel is formed between the first and second substrates. The delivery channel provides fluid communication between the micro-channel and the well.,7737045
7737392.pdf,"Photonic crystal sensors with integrated fluid containment structure, sample handling devices incorporating same, and uses thereof for biomolecular interaction analysis","['Cunningham, Brian T.', 'Choi, Charles']",2010-06-15,"Photonic crystal (PC) sensors, and sensor arrays and sensing systems incorporating PC sensors are described which have integrated fluid containment and/or fluid handling structures. The PC sensors are further integrated into a sample handling device such as a microwell plate. Sensors and sensing systems of the present disclosure are capable of high throughput sensing of analytes in fluid samples, bulk refractive index detection, and label-free detection of a range of molecules, including biomolecules and therapeutic candidates. The present disclosure also provides a commercially attractive fabrication platform for making photonic crystal sensors and systems wherein an integrated fluid containment structure and a photonic crystal structure are fabricated in a single molding or imprinting processing step amendable to high throughput processing.",7737392
7740895.pdf,Nixtamalization process and products produced therefrom,"['Eckhoff, Steven R.', 'Rodriguez, Edith Oliva Cuevas', 'Carrillo, Jorge Milan']",2010-06-22,"The present invention provides a nixtamalization process wherein corn endosperm fractions, subfractions, or combinations thereof are individually nixtamalized to produce food products. The invention also comprises food products, including masa, instant masa, tortillas, and tortilla-related food products produced by the present invention's methods, including food products that have controllable fat and/or fiber levels.",7740895
7740974.pdf,Formic acid fuel cells and catalysts,"['Larsen, Robert Thomas', 'Masel, Richard I.', 'Ha, Su Yun']",2010-06-22,"An exemplary fuel cell of the invention includes a formic acid fuel solution in communication with an anode (12, 134), an oxidizer in communication with a cathode (16, 135) electrically linked to the anode, and an anode catalyst that includes Pd. An exemplary formic acid fuel cell membrane electrode assembly (130) includes a proton-conducting membrane (131) having opposing first (132) and second surfaces (133), a cathode catalyst on the second membrane surface, and an anode catalyst including Pd on the first surface.",7740974
7742662.pdf,Photonic crystal sensors with intergrated fluid containment structure,"['Cunningham, Brian T.']",2010-06-22,"Photonic crystal (PC) sensors, and sensor arrays and sensing systems incorporating PC sensors are described which have integrated fluid containment and/or fluid handling structures. Sensors and sensing systems of the present disclosure are capable of high throughput sensing of analytes in fluid samples, bulk refractive index detection, and label-free detection of a range of molecules, including biomolecules and therapeutic candidates. The present disclosure also provides a commercially attractive fabrication platform for making photonic crystal sensors and systems wherein an integrated fluid containment structure and a photonic crystal structure are fabricated in a single molding or imprinting processing step amendable to high throughput processing.",7742662
7745422.pdf,"Bisphosphonate compounds and methods for bone resorption diseases, cancer, bone pain, immune disorders, and infectious diseases","['Song, Yongcheng', 'Zhang, Yonghui', 'Sanders, John M.', 'Chan, Julian M. W.', 'Oldfield, Eric']",2010-06-29,"Bisphosphonate compounds and related methods of making and using are disclosed, including pyridinium-1-yl, quinolinium-1-yl, and related compounds. The activity of compounds is disclosed in the context of functional assays such as Leishmania major farnesyl diphosphate synthase (FPPS) inhibition, Dictyostelium discoideum growth inhibition, human gamma delta T cell activation, and bone resorption. The applicability of bisphosphonate compounds in the context of parasitic infections, for example against trypanosomes, is disclosed. Further potential applications of the invention are disclosed regarding the treatment of one or more conditions such as bone resorption disorders, cancer, bone pain, infectious diseases, and in immunotherapy.",7745422
7748343.pdf,Electrohydrodynamic spraying system,"['Kim, Kyekyoon', 'Singh, Ravindra Pratap']",2010-07-06,"An electrohydrodynamic spray apparatus includes a liquid inlet and a spray nozzle in fluid communication with the liquid inlet, where the spray nozzle has an opening downstream of the liquid inlet. An inner electrode is situated at least partially inside the spray nozzle. An outer electrode is situated external to the spray nozzle and within about 100 mm of the opening of the nozzle. The electrohydrodynamic spray apparatus can be combined with a substrate to form an electrohydrodynamic spray system. The electrohydrodynamic spray apparatus or system can be used to form nanostructures such as nanodrops, nanoparticles and thin films.",7748343
7749922.pdf,Nanowire structures and electrical devices,"['Bezryadin, Alexey', 'Remeika, Mikas']",2010-07-06,"The present invention provides structures and devices comprising conductive segments and conductance constricting segments of a nanowire, such as metallic, superconducting or semiconducting nanowire. The present invention provides structures and devices comprising conductive nanowire segments and conductance constricting nanowire segments having accurately selected phases including crystalline and amorphous states, compositions, morphologies and physical dimensions, including selected cross sectional dimensions, shapes and lengths along the length of a nanowire. Further, the present invention provides methods of processing nanowires capable of patterning a nanowire to form a plurality of conductance constricting segments having selected positions along the length of a nanowire, including conductance constricting segments having reduced cross sectional dimensions and conductance constricting segments comprising one or more insulating materials such as metal oxides.",7749922
7751057.pdf,Magnetomotive optical coherence tomography,"['Boppart, Stephen A.', 'Oldenburg, Amy L.', 'Crecea, Vasilica', 'Liang, Xing']",2010-07-06,"A spectral-domain magnetomotive optical coherence tomography apparatus, includes (a) a spectral-domain optical coherence tomography device, and (b) a magnet. The magnet is coupled with the optical coherence tomography device so that changes in the magnetic field are coordinated with collection of data by the optical coherence tomography device. This device may be used to examine a sample by spectral-domain magnetomotive optical coherence tomography, which includes examining the sample with a spectral-domain optical coherence tomography device, to collect optical coherence tomography data. The sample contains magnetic particles, and the magnetic particles are subjected to a changing magnetic field during the examining.",7751057
7752916.pdf,Apparatus and method for material testing of microscale and nanoscale samples,"['Han, Jong H.', 'Uchic, Michael D.', 'Saif, M. Taher']",2010-07-13,"Methods and apparatus for testing a microscale or nanoscale sample. A testing stage comprises a frame having first and second laterally opposing ends and first and second side beams. At least one deformable force sensor beam is disposed near the first opposing end and extends laterally between the first and second side beams. A first longitudinal beam, having a free end, bisects the at least one force sensor beam, and a second longitudinal beam has a free end facing the free end of the first longitudinal beam to define a gap therebetween. A support structure comprises a plurality of laterally extending beams disposed such that the second longitudinal beam bisects the plurality of laterally extending beams. Each of a pair of slots disposed at each of the free ends of the first and second longitudinal beams comprises a tapered portion leading to a generally longitudinal portion aligned with the central longitudinal beam. The slots provide a seat for a dogbone-shaped sample.",7752916
7765068.pdf,Identification and characterization of protein fragments,"['Kelleher, Neil L.', 'Taylor, Gregory K.']",2010-07-27,"A method of preparing a first set of candidate fragments from a sample protein fragment and a protein sequence, comprises selecting a first candidate sequence comprising a terminal amino acid of the protein sequence; generating a further candidate sequence from each candidate sequence, except a last candidate sequence; and including any candidate sequences having a mass which is equal to the mass of the sample protein fragment within a third tolerance, in the first set of candidate fragments. The generating of the further candidate sequences from each candidate sequence is by adding a portion of the protein sequence farther away from the terminal amino acid than the candidate sequence, if a mass of the sample protein fragment is equal to or greater than the mass of the candidate sequence within a first tolerance, or deleting a portion of the candidate sequence from an end closest to the terminal amino acid, if the mass of the sample protein fragment is less than the mass of the candidate sequence within a second tolerance. The candidate sequences are subsequences of the protein sequence.",7765068
7767836.pdf,Method and system for extraction of oil from corn,"['Cheryan, Munir']",2010-08-03,"A process for removing oil from an agricultural substrate, including a dry grind corn. An ethanol solution with a concentration in the range of from about 90% to about 100% ethanol is mixed with the dry grind corn in a ratio of from about 10:1 to about 1:1 to form an extraction solution including the ethanol solution, oil, and corn solids. The extraction solution is separated into the corn solids and a filtrate, the filtrate including the ethanol solution and oil. The filtrate is membrane filtered, including nanofiltration, to restrain an oil concentrate from the filtrate and pass a permeate of the ethanol solution. The oil contained within the oil concentrate is purified.",7767836
7768376.pdf,Conformal mesh for thermal imaging,"['Chen, Jack', 'Liu, Chang', 'Engel, Jonathan M.', 'Fan, Zhifang', 'Chen, Nannan']",2010-08-03,"This invention provides thermal sensors and imagers that are flexible and capable of conforming to curved surfaces and corresponding methods of making and methods of thermal sensing. The thermal sensors contain an array of thermal resistors patterned in a row and column configuration, with each thermal resistor electrically isolated from other thermal resistors within the sensor. Thermal information is obtained from a region by measuring the resistance of each thermal resistor and calculating a thermal resistance for each entry of the array.",7768376
7768640.pdf,Fluorescence detection enhancement using photonic crystal extraction,"['Cunningham, Brian T.', 'Block, Ian D.', 'Ganesh, Nikhil', 'Mathias, Patrick C.']",2010-08-03,"Enhancement of fluorescence emission from fluorophores bound to a sample and present on the surface of two-dimensional photonic crystals is described. The enhancement of fluorescence is achieved by the combination of high intensity near-fields and strong coherent scattering effects, attributed to leaky photonic crystal eigenmodes (resonance modes). The photonic crystal simultaneously exhibits resonance modes which overlap both the absorption and emission wavelengths of the fluorophore. A significant enhancement in fluorescence intensity from the fluorophores on the photonic crystal surface is demonstrated.",7768640
7771944.pdf,Methods for determining genetic haplotypes and DNA mapping,"['Xiao, Ming', 'Selvin, Paul R.', 'Kwok, Pui-Yan', 'Gordon, Matthew']",2010-08-10,"Improved methods of genetic haplotyping and DNA sequencing and mapping, including methods for making amplified ssDNA, methods for allele determination, and a DNA barcoding strategy based on direct imaging of individual DNA molecules and localization of multiple sequence motifs or polymorphic sites on a single DNA molecule.",7771944
7785728.pdf,Palladium-based electrocatalysts and fuel cells employing such electrocatalysts,"['Larsen, Robert Thomas', 'Masel, Richard I.', 'Zhu, Yimin']",2010-08-31,"A direct organic fuel cell includes a fluid fuel comprising formic acid, an anode having an electrocatalyst comprising palladium nanoparticles, a fluid oxidant, a cathode electrically connected to the anode, and an electrolyte interposed between the anode and the cathode.",7785728
7785825.pdf,"Compositions and methods for dehydration and cyclization of peptides, synthetic compounds, and lantibiotics","['van der Donk, Wilfred A.', 'Xie, Lili', 'Chatterjee, Champak', 'Paul, Moushumi']",2010-08-31,"Lantibiotics are synthesized on ribosomes as prepeptides and post-translationally modified to a mature form. These modifications include dehydrations and cyclizations. Compounds and related methods of generating compounds, modified by dehydration, cyclization, or dehydration and cyclization, are disclosed. The disclosure includes in vitro approaches to effecting dehydration and cyclization leading to production of biologically active compounds such as lantibiotics and variants thereof. Synthetic variants and methods including combinatorial approaches for generating diverse lantibiotics and other compounds are disclosed. The invention has broad potential for applications including food, agricultural, and medical industries.",7785825
7787129.pdf,Method and apparatus for measurement of optical properties in tissue,"['Boppart, Stephen A.', 'Leigh, Mathew', 'Zysk, Adam M.', 'Adie, Steven G.', 'Armstrong, Julian J.', 'Sampson, David Frederick']",2010-08-31,"A method of analyzing tissue includes inserting a radiation source into tissue, impinging radiation upon the tissue, obtaining a sample signal of the radiation that impinges upon the tissue, and determining a refractive index of the tissue from the sample signal. The method may also include determining at least one other optical property of the tissue. The method may provide for identifying tissue as part of a biopsy method. A device for analyzing tissue may include a low-coherence interferometer and a probe optically coupled to the interferometer, where the probe includes a radiation source.",7787129
7799251.pdf,Microcapillary networks,"['White, Scott R.', 'Lewis, Jennifer A.', 'Therriault, Daniel']",2010-09-21,"Devices that include hosts having internal microcapillary networks are disclosed. The microcapillary networks are formed from interconnected passageways. The interconnected passageways may be formed by removing a fugitive material from a cured host material that forms the host. The resultant host material has many applications, including use as a microfluidic device in applications ranging from fluid mixing to structural repair.",7799251
7799554.pdf,Lateral flow devices,"['Lu, Yi', 'Liu, Juewen', 'Mazumdar, Debapriya']",2010-09-21,"An analytical test for an analyte comprises (a) a base, having a reaction area and a visualization area, (b) a capture species, on the base in the visualization area, comprising nucleic acid, and (c) analysis chemistry reagents, on the base in the reaction area. The analysis chemistry reagents comprise (i) a substrate comprising nucleic acid and a first label, and (ii) a reactor comprising nucleic acid. The analysis chemistry reagents can react with a sample comprising the analyte and water, to produce a visualization species comprising nucleic acid and the first label, and the capture species can bind the visualization species.",7799554
7799699.pdf,Printable semiconductor structures and related methods of making and assembling,"['Rogers, John A.', 'Nuzzo, Ralph G.', 'Khang, Dahl-Young', 'Menard, Etienne', 'Ko, Heung Cho', 'Sun, Yugang', 'Zhu, Zhengtao', 'Lee, Keon Jae', 'Meitl, Matthew', 'Mack, Shawn']",2010-09-21,"The present invention provides a high yield pathway for the fabrication, transfer and assembly of high quality printable semiconductor elements having selected physical dimensions, shapes, compositions and spatial orientations. The compositions and methods of the present invention provide high precision registered transfer and integration of arrays of microsized and/or nanosized semiconductor structures onto substrates, including large area substrates and/or flexible substrates. In addition, the present invention provides methods of making printable semiconductor elements from low cost bulk materials, such as bulk silicon wafers, and smart-materials processing strategies that enable a versatile and commercially attractive printing-based fabrication platform for making a broad range of functional semiconductor devices.",7799699
7800063.pdf,Manipulator for rotating and translating a sample holder,"['Slingerland, Hendrik Nicolaas', 'Bruggers, Jan Willem', 'Wagner, Raymond', 'Schmid, Andreas', 'Petrov, Ivan Georgiev', 'Donchev, Todor I.', 'van de Water, Jeroen', 'Duden, Thomas', 'van den Oetelaar, Johannes Antonius', 'Ottevanger, Adriaan Huibert', 'Olson, Eric A.']",2010-09-21,"A manipulator for use in e.g. a Transmission Electron Microscope (TEM) is described, said manipulator capable of rotating and translating a sample holder (4). The manipulator clasps the round sample holder between two members (3A, 3B), said members mounted on actuators (2A, 2B). Moving the actuators in the same direction results in a translation of the sample holder, while moving the actuators in opposite directions results in a rotation of the sample holder.",7800063
